,addresses,postal_codes,districts,house_types,Sold:,List:,Taxes:,DOM:,Lot:,Rms:,Bedrooms:,Washrms:,Client Remks:,Extras:,Brkage Remks:,Kitchens:,Fam Rm:,Basement:,Fireplace/Stv:,Heat:,A/C:,Central Vac:,Apx Age:,Apx Sqft:,Assessment:,POTL:,Laundry lev:,Exterior:,Drive:,Gar/Gar Spcs:,Drive Pk Spcs:,Tot Pk Spcs:,UFFI:,Pool:,Prop Feat:,Zoning:,Cable TV:,Hydro:,Gas:,Phone:,Water:,Water Supply:,Sewer:,Waterfront:,Retirement:,Farm/Agr:,Oth Struct:,,Spec Desig:
79,99 Esgore Dr,M5M3S1,Toronto C04,2-Storey,"$4,300,000","$4,700,000","$19,049.98",133,50 x 202.42 Feet,11 + 5,5 + 2,5,"A Rare Opportunity In The Heart Of The Cricket Club Community. This Five Bedroom Is Situated On A Oversized Lot That Boasts A Expansive Covered Porch And Charming Private Garden. A Stunning Entry Hall. A Abundance Of Natural Light Radiates Through A Chefs Gourmet Kitchen. There Is A Relaxed Country Charm Ambience, Thanks To Mature Trees. Neighbourhood Amenities Include Upscale Shopping And Restaurants, Excellent Schools And Close To Public Transportation",,"Please Contact L/A For Full List Of Inclusions And Exclusions. Please Attach Schedule 'B' To All Offers, Cheque To Be Certified Upon Acceptance. 24 Hours Notice, 1/2 Hour Appointments Only. No Sign On The Property.",1,Y,Finished / Walk-Up,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Detached / 1.5,6,7,,None,"Fenced Yard, Treed",Res,Y,Y,Y,Y,Municipal,,Sewers,,,,,,Unknown
80,3 Yarrow Rd,M6M4E2,Toronto W03,Bungalow,"$619,000","$629,000","$2,410.00",6,30.62 x 110 Feet,4 + 4,2 + 2,2,"Well Maintained, Detached Bunglow With Finished Basement. 2 Bedrooms On The Main Floor And 2 Bedroom Basement With Separate Entrance. Hardwood Floors On Main Floor, Lots Of Parking Space, Close To Ttc, Highways And All Amenities.","All Electric Fixtures, Appliances: 2 Fridges, 2 Stoves, Washer, Dryer, All Window Coverings.","Please Attach Schedule B And Form 801 With Offer, All Measurements & Taxes To Be Independently Verified By Buyer/Buyer's Agent, Show And Sell, Lb For Easy Showing. Deposit Must Be Certified Cheque/Draft.",1 + 1,N,Apartment / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Detached / 1.0,6,7,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
81,305 Aylesworth Ave,M1N2K3,Toronto E06,Bungalow,"$605,000","$649,900","$2,703.73",91,128 x 105 Feet,5 + 2,2 + 1,2,"Investors, Renovators, Empty Nesters..Solid Brick Bungalow In Prime Area.Close To Bluffs, Public Transit, Shopping, Beaches &Go Train.20 Minutes To Downtown. Separate Entrance To Almost Finished 2 Bedroom Basement With High Ceilings.Huge Lot For Kids To Play, With Carport For Extra Storage. 3 Years New Owned A/C.Perfect Home To Either Live In As Is,Or Redevelop Like Many Others In The Area And Build Up! Offers Anytime.","2 Fridge, 2 Stove, 1 Dishwasher, Clothes Washer & Dryer, Electrical Light Fixtures.","Showings Anytime! Offers Anytime, By Email To Theresa.Stephens@Century21.Ca Or In Person. Attach Schedule B & Form 801.The Seller & Sellers Agent Do Not Warrant The Retrofit Status Of The Basement Apt",2,Y,Part Fin / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Carport / 0.0,3,3,,None,"Park, Place Of Worship, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
82,22 Shediac Rd,M1K4Z7,Toronto E09,Backsplit 3,"$582,000","$679,000","$2,394.24",10,41 x 125 Feet,6,3,1,"Wonderfully Laid Out Large 3 Bedroom Solid Brick Backsplit. New Flooring Throughout, Newly Finished Basement With High Ceilings & Updated Bath. Large, Private Fully Fenced Yard! Close To All Amenities; Easy Access To Hwy 401, Ttc, Shopping, Restaurants & More!","Fridge, Stove, Washer & Dryer, All Electric Light Fixtures & Window Coverings.","Please Attach Schedule B & Form 801 To All Offers. Buyers/Buyers Agent To Verify Taxes, Measurements & All Information. Easy To Show With Lockbox.",1,N,Finished,N,Forced Air / Gas,Other,,51-99,1500-2000,,,,Brick,Private,Carport / 1.0,3,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
83,1 Benway Dr,M9W1Y9,Toronto W10,1 1/2 Storey,"$670,000","$689,000","$2,466.29",16,88.37 x 124.33 Feet,6 + 4,3 + 1,3,"Immaculate 3 Bdrm Detached Brick W 1 Bdrm Bsmt Apt + Separate Entrance. Great Income Property/Inlaws/Nanny Suite. Great Curb Appeal! Amazing Neighbors On Quiet Street. Spectacular Private Tree Lined Backyard Great For Entertaining & Kids. New Driveway, Plumbing, Drainage, Back Flow Valve. Close To ""Etobicoke North"" Go Train Station,Ttc, Shopping, Hwys + Schools. Parking For 3 Cars + Ample Street Parking, Mature Family Neighbourhood Of Kipling Heights.","Professionally Decorated. All Elf's, Window Coverings, 2 S/S Fridges, 2 S/S Stoves, 2 S/S Dish Washers, 3rd Bdrm Wardrobe, Frnt Load W/D, New ""Energy Star"" Windows, 2 Garden Sheds, Garbage Shed, Newly Paved Drive+ Fence, Prof Landscaping",4 Hrs Notice For Showings Please (After 10 Am And Before 9 Pm). Offers Any Time W 48 Hr Irrevocable Since 1 Seller Travels Extensively. Cc Or Bd W Accepted Offers. Include 801 And Schedule B & C. Seller Does Not Warrant Retrofit Status Of Bsmt,1 + 1,N,Apartment / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Pvt Double,None / 3.0,3,3,,None,"Fenced Yard, Grnbelt/Conserv, Hospital, Place Of Worship, Public Transit, School",Residential,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
84,32 Cleta Dr,M1K3G6,Toronto E04,1 1/2 Storey,"$680,000","$699,900","$2,502.65",0,52.96 x 163.83 Feet,6 + 4,3 + 1,2,"Attention Builders/Or Family Looking For A Big Backyard! Huge 62.96 X 163.83' Lot In Highly Desirable Kennedy Park Neighbourhood! Charming 1 1/2 Storey, 3 Bdrm Home With Separate Entrance To 1 Bdrm In-Law Apartment. Gas Fireplace In Living Room. Renovated Kitchen. Upgraded Windows. New He Gas Furnace & Central Air In 2011. New Gas Hot Water Tank 2-15. Walkout To Deck. Fenced Backyard With Climbing Gym. Close To Ttc, Subway & Go Train!","2 Fridges,2 Stoves,Exhaust Hood,B/I D/W,2 Washers,2 Dryers(As Is),Gas F/Place(As Is),He Gb&E(11),Cac(11),Ghwt(15),Ceiling Fans,All Elfs,Blinds,3 Garden Sheds,Climbing Gym. Exclude Curtains. Stacking Washer/Dryer Not Installed.","See Attached Floor Plans, Schedule B & Form 801. Home Inspection Available By Email. Certified Bank Draft With Offer Please.",1 + 1,N,Apartment / Sep Entrance,Y,Forced Air / Gas,Central Air,N,51-99,700-1100,378250 / 2017,,,Other,Private,None / 0.0,5,5,,None,"Fenced Yard, Public Transit, School",,,,,,Municipal,,Sewers,,N,,Garden Shed,,Unknown
85,148 Blackthorn Ave,M6N3H8,Toronto W03,2-Storey,"$699,000","$699,900","$2,772.53",11,16.83 x 112 Feet,7 + 1,4,3,"Wonderful Detached 2-Storey Family Home With Rear Extension In A Great Central Family Oriented Neighbourhood. This Spaicous Open Concept Home Features A Family Sized Kitchen, Main Floor Family Room/4th Bedroom With Walkout To Rear Deck, A Basement Bachlor In-Law Suite With Seperate Entrance, 3 Spacious Bedrooms, And Updated 2nd Floor Bathroom With Legal Front Yard Parking.","Existing 2 Fridges, 2 Stoves, Built-In Dishwasher, Washer And Dryer; All Existing Elf's And Window Coverings.","Please Attach Survey, Schedule B, C, Form 801, And Deposit Cheque To All Offers. Lockbox For Easy Showings. Please Allow 24 Hours Irrevocable On All Offers.",1 + 1,N,Finished / Sep Entrance,N,Forced Air / Gas,None,,,,,,,Alum Siding / Brick,Front Yard,None / 0.0,1,1,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
86,9 Saunders Cres,M8Y2P7,Toronto W07,1 1/2 Storey,"$705,000","$724,999","$3,205.69",52,34.03 x 90 Feet,5 + 3,3 + 1,1,"A Much-Loved Family Home In The Exciting Queensway Community! A Perfect Property For First Time Buyers, Renovators Or Builders! This 3+1 Bdrm Home Is Situated In An Amazing Location...On A Quiet Crescent Fronting  Onto A Lush Green Parkette! Just Steps To The Thriving Queensway With Shopping, Restaurants, Cafes & Entertainment! Excellent Public, Catholic, French & Art Schools Nearby. Easy Commute Via Mimico Go, T T C & Q E W To Downtown All Located Close By!!","Fridge, Stove, Washer, Dryer, Window Coverings & Elfs.100 Amps. Circuit Breakers. Enjoy The Spacious 1.5 Car Garage Tons Of Storage Space To Work On Your Cars/Bikes! Or Soak Up The Sun In The Sprawling, Sunny, West Backyard!","Appointments Daily: 9Am To 8Pm. ***Offers Anytime*** Attach Schedule B,C, Plan Of Survey Showing Lot 57 & Form 801. Exclude: Curtains In Living. Ghwt-R. Property Sold ""As-Is, Where-Is"".",1,N,Finished / Full,N,Forced Air / Gas,Central Air,,,,,,,Alum Siding / Other,Mutual,Detached / 1.0,2,3,,None,"Library, Park, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
87,14 Alhart Dr,M9V2M9,Toronto W10,Bungalow,"$714,000","$735,800","$2,717.71",79,45 x 111 Feet,6 + 4,3 + 1,2,"Bright, Spacious Updated Home In Sought After Community Conveniently Located Near All Major Amenities And Hwys/Transit. 3+1 Bed Fully Detached Brick Bungalow Feat: Updated Kitchens, Baths, Extended Drive, Fully Fenced Private Rear Yard & Attached Garage. Income Potential Producing Basement W/Separate Entrance, Huge Kitchen, Updated Bath, Bed W/Dbl Closet And Large Living Room! Ample Storage Throughout! Turn Key, Move In, And Enjoy!","3 Fridges, 2 Stoves, Dishwasher, 2 Kitchen Exhaust Fans, Washer, Dryer, All Existing Elfs, And All Existing Window Coverings, Gdo, Hwt(R), Alarm System Not Monitored, Excl. Upright Freezer In Bsmt Kitchen.","Lockbox For Easy Showing! Taxes & Measurements To Be Verified By Buyer & Buyer's Agent. La & Sellers Do Not Warrant Retrofit Status Of Bsmt. La Related To Seller, Pls Include Disclosure. Offers Anytime W/801 & Sch. B",1 + 1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.0,4,5,,None,"Golf, Park, Place Of Worship, Public Transit, School",,Y,Y,Y,Y,Municipal,,Sewers,,,,,,Unknown
88,18 Leverhume Cres,M1E1K4,Toronto E08,Bungalow,"$735,000","$778,888","$3,219.72",31,42.5 x 151.5 Feet,6 + 6,3 + 2,3,"Live In The Prestigious Guildwood Village. Close To Parks, Trails, Go Train, Ttc, Excellent Schools, Waterfront And More. Beautiful Clean 3 Bedroom Home On A Well Kept Quite Street. Custom Kitchen, Hardwood, New Laminate And Tile. Extra Large Deck On A Large Deck Pie Shaped Lot. $1000/Monthly, Clean 2 Bedroom Basement Investment Rental Income Recently Terminated! Seller And Listing Agent Make Up No Representation Regarding Basement Retrofit Status!!","All Window Coverings, All Electrical Light Fixtures, S/S Refrigerators, S/S Gas Stove, B/I D/W + Microwave/Hood Fan, Washer/Dryer, Bsmt Fridge, Electric F/P, Central Air Condition, Outdoor Deck.",Beautiful Large Lot Bungalow On A Great Pie Shaped Lot In Demand Area. 2 Bedroom Basement Apartment Investment Income Generated $1000 A Month! Please See Fax Attachments For Deposit Schedule. Form 801 To Register Offer. Please Email Offers To Marvin@Alsinclair.Com.,2,N,Apartment / Sep Entrance,Y,Forced Air / Gas,Central Air,N,,1100-1500,,,,Brick,Pvt Double,Attached / 1.0,3,4,,None,"Grnbelt/Conserv, Library, Park, Public Transit, School, Waterfront",Residential,Y,Y,Y,Y,Municipal,,Sewers,,N,,,,Unknown
89,17 Struthers St,M8V1Y2,Toronto W06,Bungalow,"$788,500","$795,000","$3,082.12",74,32 x 125 Feet,4 + 4,2 + 2,2,"A Fascinating & Affordable Home With Pretty Perennial Gardens - Sit In The Sunshine, Under A Smart Wooden Pergola & Listen To A Babbling Fountain! Nicely Updated Kitchen Located At Back Of House With W/O To Deck & Gardens - Perfect For Bbqs! This 2+2 Bedroom Bungalow Has Excellent Mechanicals, Spacious Master, Deep Soaker Maax Chromotherapy Tub & Finished Bsmt W Separate Side Entrance.  Walk To The Lake, Parks, Dual Track Schools, Ttc & Mimico Go!","Fridge, Stove, B/I Dishwasher, Micro, Deep Freezer, Window Coverings, Elfs, Water Softener, Cvac ""As Is"" & 3 Sheds. Hi-Eff Fag 2010 W Hepa Filter, A/C 2010 & Roof Re-Shingled 2010. Bsmt Waterproofed-2 Walls, Garage, 100 Amp.","Apptms: 11Am -8Pm. 2 Hours Notice. ***Offers Anytime W 24 Hour Irrevocable***Attach Schedule B,C & 801. Exclude: Washer, Dryer, Bose Speakers, 2 White Rose Bushes, Front Park Bench, Stone Bench & All Decorative Items In Garden And Garage. Mechanical Updates Appox 2010. Ghwt-R.",1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick / Stucco/Plaster,Private,Detached / 0.0,2,2,,None,"Fenced Yard, Library, Public Transit, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
90,66 Rowatson Rd,M1E1K1,Toronto E08,Bungalow,"$799,900","$799,900","$3,285.75",43,41 x 112 Feet,6 + 4,3 + 2,2,"Beautifully Renovated Spacious Sundrenched 3 Bedroom Bungalow Situated On Pool Sized Pie Shaped Lot In Prestigious Guildwood Village Convenient To Parks, Trails, Go Train, Transit, Schools, Waterfront And Much More. Other Highlights Include Hardwood, Ceramics, Fully Finished Basement, Large Deck & Parking For 6 Cars! Rough In For 2nd Kitchen In Bsmt (Income Potential!) Don't Miss Out","All Window Covr's, All Electric Light Fixt's, S/S Refrigerator, S/S Gas Stove, B/I D/W + Microwave/Hoodfan, Washer/Dryer, Bsmt Fridge, Electric F/P, Gas Burner & Equip (2006), Central Air Cond, Gdo+1 Remote, Roof (2014), Closet Organizers.",Renovated Bungalow On Great Pie Shaped Lot In Demand Area. Rough In For 2nd Kitchen In Bsmt (Income Potential!) Please See Fax Attachments For Deposit Schedule. Orea Form 801 Required To Register Offer.,1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,51-99,,,,,Brick,Pvt Double,Built-In / 1.0,5,6,,None,"Golf, Park, Public Transit, School",Residential,,,,,Municipal,,Sewers,,,,,,Unknown
91,59 Leahann Dr,M1P1B8,Toronto E04,Bungalow-Raised,"$811,000","$799,900","$3,088.24",37,40 x 125 Feet,6 + 4,3 + 2,2,"This Is It. Customized Home Oozing With Pride Of Ownership.Main Kitchen With 2 Sinks & Island. Lower Kitchen Has Customized Counter Top/Bar Area, Separate Laundry Areas. Heated Ceramic Flooring In Both Kitchens & Bathrooms.Separate Entrance To Lower Area. Bring The In-Laws. Very Private Hedged Rear Yard. Recent 2015 Updates Include Roof Shingles And High Efficiency Gas Furnace. Quiet Family Friendly Neighbourhood With Parks, Schools & Transportation Close By.","2 Fridges, 2 Stoves, 2 Built-In Dishwashers, 2 Built-In Microwaves, 2 Washers, 2 Dryers, Central Vac. And Attachments. Flexible Closing Date Available.",Pls Include Cell # With Any Online Bookings.Pls Submit Attached Schedule B & Offer Summary With Any Submissions.,1 + 1,N,Apartment / Finished,N,Forced Air / Gas,Central Air,Y,,,,,,Brick,Private,Attached / 1.0,3,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
92,59 Rhinestone Dr,M9C3W8,Toronto W08,Bungalow-Raised,"$820,000","$824,500","$3,739.97",3,48.08 x 110 Feet,6 + 3,3 + 1,2,"Beautifully Appointed & Lovingly Updated Thru Out!! Freshly Painted & Impeccably Maintained.Elegant Interior Design. Fabulous Layout. Separate Entrance To Bright Quietly Contemporary Basement W/4th Bdrm, Inviting Finished Recroom, Tasteful 3-Pc Bath And Room For A Full Kitchen. Ideal In-Law/ Nanny Suite. Very Private Yard. Quiet Tree-Lined Street W/ Convenient Access To Notable Schools & Fine Area Amenities Incl Centennial Park & Etobicoke Olympium. A Gem!","All Elfs, All Window Covs, Fridge, Stove, Bi Dw, Bi Micro, W&D, Hi-Eff Furnace-12, Cac-13, Roof-11, Kitchen-05. Please Note Vinyl Pool Filled In 2005/2006. Great Opportunity!! Absolutely Put This One On Your List!!","Cc Or Bd W/Offers Pls.  **Attach Schedule B & Form 801**.  Offers Welcome Anytime. **Pls Allow 24 Hrs. Irrevocable**  Floor Plans & Hi Report Attached, No Survey Available. Thank You For Showing!!",1,N,Finished,N,Forced Air / Gas,Central Air,N,,,,,,Brick,Private,None / 0.0,3,3,,None,,Residential,,,,,Municipal,,Sewers,,N,,,,Unknown
93,42 Hollister Rd,M9C4M7,Toronto W08,Bungalow,"$765,000","$829,900","$3,432.99",87,41.87 x 106.5 Feet,6 + 1,3 + 1,2,"Fantastic Location! This House Has Been Lovingly Updated And Maintained. Kitchen Updated 2013 With Lots Of Storage. European Engineered Hardwood Throughout The Main Floor. Basement Renovated 2009 Including A Master Bedroom Retreat With Walk-In Closet And Spa-Like Washroom. Garage Roof & Siding 2014. Double Wide Driveway. Eringate Community Offers Great Schools, Recreational Opportunities And A Two Minute Walk To Transit.","Fridge, Stove, Dishwasher, Microwave, Washer, Dryer, Furnace, Central Air Conditioner, Cabinetry In Garage, Snow Blower, Leaf Blower, Lawn Mower, Weed Whacker And Tools. Ask For Details.",Hot Water Tank Rental. Easy Showings With L/B. Showings Anytime. Offers Welcome Anytime With Thanks. 24 Hrs Irrevocable. Certified Check Or Bank Draft Deposit To Accompany All Offers. Include Schedule B And Form 801 With All Offers.,1,N,Finished / Full,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Pvt Double,Detached / 1.0,4,5,,None,"Fenced Yard, Library, Park, Public Transit, Rec Centre, School",,,,,,Municipal,,Sewers,,,,,,Unknown
94,4 Altair Ave,M1W1A4,Toronto E05,Bungalow,"$935,000","$998,888","$3,832.01",11,50 x 120 Feet,6,3,2,Spacious 1425 Bungalow Right Off Victoria Park Near Sheppard Avenue!! Beautiful Eat-In Kitchen!! Private Fenced Backyard!! Unspoiled Basement!! Finish To Your Delight!! Walk To Ttc! Minutes To 401 And Dvp!!,"*Subject To Right Pt 1 66R4718 As In 4294524. Scarborough,City Of Toronto. Fridge, Stove, Washer, Dryer, All Window Coverings, All Elf's, Gas Burner And Equipment, Central Air Conditioner (All Appliances As Is And Where Is)",Offers Anytime With 72 Hour Irrevocability. Please Email To Getaldonow@Gmail.Com Or Fax To 416-756-1267.,1,N,Unfinished,N,Forced Air / Gas,Central Air,,,1100-1500,,,,Brick,Private,Built-In / 2.0,2,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
95,7 Brimley Rd S,M1M3W3,Toronto E08,2-Storey,"$1,055,000","$1,098,000",$711.64,115,24 x 43 Feet,8,3,2,Luxury Resort Living! Rare 3 Bdrm + 2 Bath Custom Built Float Home On Toronto's Waterfront. 1500 Sq Ft Interior With 9Ft Ceilings & Over 1000 Sq Ft Outdoor Decking - One Of The Largest Floating Homes In Ontario! Bright And Modern Home With Stunning Views Of The Lake And Scarborough Bluffs Through Floor To Ceiling Custom Panoramic Windows. This Impressive Home Featured On Various Tv Shows And Magazines. See Attached List For Upgrades.,"All Elf's, S/S Kitchenaid Fridge, Boesch  Dishwasher, Bertazzoni Gas Stove & Hood, Microwave, Fireplace, Washer & Dryer. Mooring Monthly Fee $842 Include 2 Parking Spaces, Direct Hookup To Main Dock (Electrical & Holding Tank) Hookups.",Contact La Regarding Financing And One-Time Marine Lease Fee. Include Form 801 And Attached Schedules. The Seller Is Related To Listing Agent. Thank You For Showing.,1,Y,None,Y,Forced Air / Electric,Central Air,,6-15,1500-2000,,,,Vinyl Siding / Wood,Mutual,None / 0.0,2,2,,None,"Beach, Clear View, Lake Access, Marina, Waterfront",,Y,Y,Y,Y,Municipal,,Tank,Direct,,,,,Unknown
96,20 Goswell Rd,M9B1W6,Toronto W08,2-Storey,"$1,295,000","$1,299,000","$6,831.51",2,80 x 100 Feet,20,4 + 2,5,"Rare Opportunity To Own A Home On A Wide Lot In A Great Neighbourhood. This Home Is Two Stories With A Full Basement, And A Large Private Backyard. 4 Bedrooms Upstairs All With Ensuite Washrooms, A Very Large Master Bedroom With A Private Balcony Overlooking The Backyard, Main Floor Has Ample Room Entertaining With A Large Eat In Kitchen And A Large Dining Room. Easy Access To Major Highways, Great Shopping, Numerous Grocery Stores And Top Rated Schools.","Close To Sherway Gardens Shopping Centre, 15 Minutes To Downtown, 10 Minutes To Pearson International Airport, French Immersion School In Neighbourhood, All Window Coverings & Appliances Included.","Please Attach Schedule B To All Offers, Easy To Show, Offers Anytime.",1,Y,Finished,Y,Forced Air / Gas,Central Air,Y,,,,,,Brick / Stucco/Plaster,Private,Attached / 2.0,4,6,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
97,32 Walder Ave,M4P2R6,Toronto C10,Bungalow,"$1,300,000","$1,300,000","$4,681.16",3,31 x 100 Feet,5,2,1,"Location, Location, Location!  Detached Bungalow On 31'X100' Lot. Private Drive & Detached Garage. Renovate Or Build Your Dream Home In This High Demand Area. Tenant's Month-To-Month, Willing To Stay Or Vacant Possession. Steps To Ttc, Shops, Restaurants, Sunnybrook Hospital & Amenities.  All Measurements Approximate & To Be Verified By Buyer.","Fridge, Stove, Washer, Dryer - All 'As Is' Condition. Gas Hwt (R).  Exclude: All Items Belonging To Tenant",Offers Anytime! Attach Sch B & 801. Bank Draft Or C/C. Offers Emailed As Per Seller To Conniehunt@Rogers.Com.   Tenants Month-To-Month $1859 + Utilities. Make Appointment To Walk Lot. Minimum 24 Hours Notice To View Interior. All Measurements Approximate.  Thanks For Showing!,1,N,Part Fin,N,Radiant / Gas,None,,51-99,,,,,Brick,Private,Detached / 1.0,3,4,,None,"Hospital, Park, Place Of Worship, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
98,291 Poyntz Ave,M2N1J8,Toronto C07,1 1/2 Storey,"$1,370,000","$1,418,000","$5,537.99",23,40.05 x 110 Feet,9 + 4,3 + 3,3,"Smart Opportunity In The Coveted West Lansing Pocket At Yonge And Sheppard! Solid Home With Brick Family Room Addition Is A Perfect Place To Add Your Personal Touches Or Build New Among So Many Custom Homes. Home Had 2nd Floor Nanny Suite Now Used As Bdrms Etc.  This Sunny South Lot Is An Easy Walk To Subway, Cameron Ps, St. Ed's Ss And The Fabulous Gwendolen Park/Ravine And Tennis! Live/Love/Build In This Fun Family Community In The Heart Of The City!","Don't Miss This One! All Existing Appliances In 'As Is' Condition, Gas Furnace, Lights, Window Coverings. Super Income Potential On Premium South Lot At Yonge And Sheppard. Fabulous Potential!!",Please Register Walks Of Lot Anytime. Inside Viewings 6-8Pm Wkdays. 3-6Pm Wknds. Seller Would Be Happy To Lease Back The Home For Up To 1 Year/Flex.   Please Allow 24 Hours On Offers And Email To Ora@Mulhollandross.Com Thank You For Showing!,2,Y,Finished,Y,Forced Air / Gas,Central Air,,31-50,,,,,Brick,Private,Detached / 1.0,3,4,,None,"Fenced Yard, Park, Public Transit, Ravine, School",,,,,,Municipal,,Sewers,,,,,,Unknown
99,93 Cummer Ave,M2M2E6,Toronto C14,Bungalow-Raised,"$1,650,000","$1,679,000","$5,400.00",17,50 x 120 Feet,6 + 5,3 + 2,2,"Bright & Spacious Family Home In Prime Location In Heart Of North York. Ready To Move In W/ Beautiful Kitchen, Fully Finished Raised Basement Bringing In Lots Of Natural Light, & Private Backyard. Access To Basement Via Side Door Leading To Private In-Law Suite. Excellent Location Just Steps To Yonge And Finch! Close To Finch Station (Ttc, Go, Viva) And Planned Cummer Subway Stn, Parks, Schools, Food Basics, Tim Hortons, Restaurants, Shops, And So Much More!","Ss Ge Fridge &Stove, Broan Range Hood, Kenmore Dishwasher. Stove, Fridge &Range Hood In Ll. Kenmore Washer &Dryer. Nest Thermostat. Polk Audio Speakers. All Window Coverings. All Elfs. Playhouse/Shed In Backyard. Exclude: Chandelier In Br3.",Please See Attached Schedule B & Email All Offers Per Vendor To Team@Oulahen.Com (Fax 416-221-1212) With 24Hr Irrevocable. Please See Attachments For Floor Plan & Survey. Taxes/Measurements To Be Confirmed By Buyer And Ba.,1 + 1,Y,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,N,,,,,,Brick,Private,Attached / 1.0,3,4,,None,"Park, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
100,11 Ferbane Pl,M2J1Y7,Toronto C15,2-Storey,"$1,735,000","$1,799,000","$4,861.45",14,70 x 91.55 Feet,7 + 3,4 + 1,4,"Eleven11 On Ferbane Pl. Has Elegant Flow & Aesthetic.  Welcoming Front Foyer Leads Into Modernised Open Concept Spacious Living Dining Rooms, Gourmet Chef's Kitchen W/Centre Island, Caesarstone Counters, Floor-To-Ceiling Cabinets, Main Floor 2-Pc, Upstairs 4 Principal Sized Bedrooms, Master Bdrm Retreat W/His&Her Closets & 3Pc Ensuite, Professionally Finished Bsmt (Potential In-Law Suite) W/Fabulous Family Room, Fireplace & 5th Bdrm, Manicured Gardens ~ Home","S/S Bosch Fridge, B/I Oven, Gas Cooktop, B/I D/W, Exhaust Hood, Microwave, Washer&Dryer, All Hi-End Light Fixtures, All Window Cvgs&Rods, 1 Garage Door Remote, Cac&Gb&E. Quiet Cul-De-Sac Across From Park, Top(Gifted)Schools, Subway Station","Offers Welcome Anytime, Email: Lindaing@Remaxhallmark.Com With Any Qs. Pls Attach: Schedule B, Form 801 With Min. 5% Deposit And 24/Hr Irrevocable. Hwt/Rental. Premium South Facing Lot Across From Park, 7 Min Walk To Don Mills Station & Fairview Mall.",1,N,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Pvt Double,Built-In / 1.0,3,3,,None,"Cul De Sac, Fenced Yard, Library, Park, Public Transit, School",Rare 70 Ft Frontage Across From Park,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
101,31 Old Orchard Grve,M5M 2C8,Toronto C04,2-Storey,"$1,862,500","$1,829,000","$5,737.69",2,28.58 x 118.58 Feet,7,4,3,Fabulous Opportunity On This South Facing 28' X 118' Lot With 4 Bedrooms & 3 Updated Bathrooms Including Master Ensuite & Renovated Kitchen With Walk-Outs To A Spacious Deck From Both The Dining Room & Kitchen For Entertaining. Finished Basement With Rec Room & Office. 1 Car Garage & Legal Pad Parking For 1 Car. Situated Within 2 Minutes Of Yonge St & 10 Minutes To The Subway.,"Electric S/S Stove,S/S Fridge,S/S Wine Fridge,Bosch Dishwasher,B/I Microwave,All Window Coverings,All Master Bathroom Fixtures & Mirrors,2 Bedroom Closet Dressers,New Lawn Mower,Back Deck Planters,3 Mitsubishi Slims, 2 Tv Wall Mounted.",*** Pre Emptive Offer Alert. Offers Being Reviewed Today Fri Sept 8 At 5:00 Pm !Aug 31st C & D Inspection Available. Please Attach Schedule B & Form 801. Seller Reserves The Right To Ent.Pre-Emptive Offer. Agent Related To Seller. Bring Disclosure,1,N,Full,Y,Water / Gas,Wall Unit,,,1500-2000,,,,Brick,Mutual,Detached / 1.0,2,3,,None,"Level, Library, Park, Place Of Worship, Public Transit, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
102,139 Lake Promenade,M8W1A6,Toronto W06,Bungalow,"$1,800,000","$1,850,000","$7,049.86",108,35.3 x 217.9 Feet,6 + 5,3 + 2,2,,,,1 + 1,N,Fin W/O / Full,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,5,5,,None,"Lake/Pond/River, Marina, Park, Public Transit, School, Waterfront",,,,,,Municipal,,Sewers,Direct,,,,,Unknown
